epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.2173,1.41908,2.65283,1.7218,0.73935,0.4506,0.47435,0.34194,1.24454,1.40247,1.60441,0.000157636,0.000157636,0.000157636
2,111.61,1.32503,1.71026,1.64614,0.53919,0.39877,0.37098,0.24417,1.52398,1.77064,1.81111,0.00031004,0.00031004,0.00031004
3,164.761,1.34511,1.67005,1.65238,0.53435,0.50914,0.46016,0.31492,1.35132,1.49849,1.68037,0.000456161,0.000456161,0.000456161
4,217.336,1.317,1.60092,1.63726,0.62377,0.50288,0.51481,0.35812,1.29606,1.43513,1.63367,0.000447726,0.000447726,0.000447726
5,269.699,1.26308,1.48344,1.59259,0.71999,0.48091,0.56278,0.3914,1.23919,1.27221,1.57261,0.000438301,0.000438301,0.000438301
6,322.436,1.22344,1.4311,1.55625,0.52808,0.62364,0.60127,0.43926,1.13124,1.14847,1.45723,0.000428876,0.000428876,0.000428876
7,375.111,1.16899,1.35337,1.51971,0.60601,0.60779,0.60246,0.44263,1.1294,1.10643,1.43645,0.000419451,0.000419451,0.000419451
8,427.355,1.14423,1.29514,1.48858,0.60511,0.61302,0.61804,0.47093,1.05656,1.06101,1.37661,0.000410026,0.000410026,0.000410026
9,479.975,1.11172,1.26464,1.46877,0.60827,0.60222,0.63344,0.47566,1.02689,0.98898,1.34729,0.000400602,0.000400602,0.000400602
10,532.911,1.099,1.22602,1.46145,0.67448,0.60619,0.64638,0.4827,1.01144,0.96077,1.33664,0.000391177,0.000391177,0.000391177
11,585.451,1.0684,1.1978,1.43873,0.62118,0.6454,0.64852,0.48699,0.98088,0.96113,1.32556,0.000381752,0.000381752,0.000381752
12,637.936,1.05681,1.17212,1.42806,0.66011,0.62817,0.66662,0.5069,1.03999,0.95223,1.34284,0.000372327,0.000372327,0.000372327
13,690.237,1.03601,1.13623,1.40837,0.62041,0.60947,0.64792,0.50592,0.96997,0.92689,1.297,0.000362902,0.000362902,0.000362902
14,742.861,1.01165,1.10951,1.39612,0.67646,0.65268,0.65674,0.51927,0.99687,0.88154,1.32291,0.000353478,0.000353478,0.000353478
15,795.586,1.00332,1.08741,1.3768,0.70532,0.61753,0.67202,0.52757,0.96295,0.87806,1.2718,0.000344053,0.000344053,0.000344053
16,848.583,1.0001,1.07616,1.3831,0.66961,0.65394,0.66793,0.52333,0.95203,0.88139,1.27227,0.000334628,0.000334628,0.000334628
17,901.004,0.98236,1.05,1.36651,0.71848,0.66374,0.66418,0.53466,0.91695,0.85627,1.25501,0.000325203,0.000325203,0.000325203
18,953.97,0.96145,1.02615,1.35135,0.71585,0.66382,0.68432,0.53349,0.93939,0.85387,1.26921,0.000315778,0.000315778,0.000315778
